id,name,sku,variable,category_id
233,"HEMIMORPHITE, BLUE",HEMI,BLU,CARVING
234,HERDERITE,HRD,,CARVING
235,HERKIMER,HER,,CARVING
236,"HESSONITE, ORANGE",HES,ORG,CARVING
237,HEULANDITE,HEU,,CARVING
238,"HEULANDITE, GREEN",HEU,GRN,CARVING
239,HIMALAYAN SALT,HYM,SLT,CARVING
240,HOWLITE,HOW,,CARVING
241,HYALITE,HYA,,CARVING
242,HYPERSTHENE,HYP,,CARVING
243,IDOCRASE (VESUVIANITE) (VASONITE),IDO,,CARVING
244,INFINITE,INF,,CARVING
245,IOLITE (CORDIERITE),ILI,,CARVING
246,JADE,JDE,,CARVING
247,"JADE, AFRICAN",JDE,AFR,CARVING
248,"JADE, MARBLED",JDE,MARB,CARVING
249,"JADE, YELLOW",JDE,YLW,CARVING
250,JASPER,JSP,,CARVING
251,"JASPER, BLOODSTONE",JSP,BLD,CARVING
252,"JASPER, BRECCIATED",JSP,BRC,CARVING
253,"JASPER, BUMBLEBEE",JSP,BMB,CARVING
254,"JASPER, GREEN",JSP,GRN,CARVING
255,"JASPER, IBIS",JSP,IBS,CARVING
256,"JASPER, KAMBABA (CROCODILE JASPER)",JSP,KMB,CARVING
257,"JASPER, LEOPARDSKIN",JSP,LEO,CARVING
258,"JASPER, MOOKAITE",JSP,MOK,CARVING
259,"JASPER, NET",JSP,NET,CARVING
260,"JASPER, NOREENA",JSP,NOR,CARVING
261,"JASPER, OCEAN",JSP,OCN,CARVING
262,"JASPER, PICASSO",JSP,PIC,CARVING
263,"JASPER, PICTURE",JSP,PTR,CARVING
264,"JASPER, RAINBOW",JSP,RNBW,CARVING
265,"JASPER, RAINFOREST",JSP,RNF,CARVING
266,"JASPER, RED",JSP,RED,CARVING
267,"JASPER, RHYOLITE",JSP,RHY,CARVING
268,"JASPER, SANSKRIT",JSP,SNSK,CARVING
269,"JASPER, SARDONYX",JSP,SRD,CARVING
270,"JASPER, SILVERLEAF",JSP,SLV,CARVING
271,"JASPER, STAR",JSP,STR,CARVING
272,"JASPER, UNAKITE",JSP,UNK,CARVING
273,"JASPER, YELLOW",JSP,YLW,CARVING
274,"JASPER, ZEBRA",JSP,ZEB,CARVING
275,JEREMEJEVITE,JRM,,CARVING
276,JET,JTT,,CARVING
277,KAMMERERITE,KAM,,CARVING
278,KUNZITE,KNZ,,CARVING
279,KUNZITE (ALSO CALLED HIDDENITE),KNZ,GRN,CARVING
280,KYANITE,KYN,,CARVING
281,"KYANITE, BLACK",KYN,BLK,CARVING
282,"KYANITE, BLUE",KYN,BLU,CARVING
283,"KYANITE, GREEN ",KYN,GRN,CARVING
284,"KYANITE, ORANGE",KYN,ORG,CARVING
285,"KYANITE, RUBY",KYN,RBY,CARVING
286,LABRADORITE,LAB,,CARVING
287,LAMROPHYLLITE,LAM,,CARVING
288,LAPIS,LAP,,CARVING
289,LAPIS LAZULI,LAP,LAZ,CARVING
290,LARIMAR,LAR,,CARVING
291,LARVIKITE,LRV,,CARVING
292,LAVA STONE,LAV,,CARVING
293,LAZURITE,LAZT,,CARVING
294,LEMURIAN ROOT CRYSTALS,LEM,RTCRYS,CARVING
295,LEPIDOCROCITE,LPD,,CARVING
296,LEPIDOLITE ,LEP,,CARVING
297,"LEPIDOLITE, CHINA",LEP,CHN,CARVING
298,"LEPIDOLITE, MUSHROOM (BUBBLE)",LEP,MUS,CARVING
299,LIBYAN DESERT GLASS,LBYN,GLSS,CARVING
300,LIMONITE,LIM,,CARVING
301,LODESTONE,LOD,,CARVING
302,"MAGNESITE, IVORY",MAG,IVY,CARVING
303,MALACHITE,MAL,,CARVING
304,"MALACHITE, STALAKTITE",MAL,STA,CARVING
305,MALACUPRACOLLA,MCC,,CARVING
306,MANDALA,MNDL,,CARVING
307,MARBLED PICASSO,MRPC,,CARVING
308,MARCASITE,MCSTE,,CARVING
309,MERLINITE (CHALCEDONY, INDIGO GABRO),MRL,CARVING
310,MICA,MIC,,CARVING
311,MIMETITE,MIM,,CARVING
312,MIXED STONES,MXS,,CARVING
313,MOLDAVITE,MLD,,CARVING
314,MONTEBRASITE,MNT,,CARVING
315,MOOKAITE,MOOK,,CARVING
316,MOONSTONE,MON,,CARVING
317,"MOONSTONE, B",MON,B,CARVING
318,"MOONSTONE, PEACH",MON,PCH,CARVING
319,"MOONSTONE, RAINBOW",MON,RNB,CARVING
320,"MOONSTONE, SILVER FLASH",MON,SLV,CARVING
321,MORGANITE,MRG,,CARVING
322,MOTHER OF PEARL,MOP,,CARVING
323,MTOROLITE,MTO,,CARVING
324,MUGGLESTONE,MGL,,CARVING
325,NATROLITE,NAT,,CARVING
326,NELLITE,NEL,,CARVING
327,NUUMMITE ,NUM,,CARVING
328,OBSIDIAN,OBS,,CARVING
329,"OBSIDIAN, BLACK",OBS,BLK,CARVING
330,"OBSIDIAN, BLUE",OBS,BLU,CARVING
331,"OBSIDIAN, GOLDEN SHEEN",OBS,GLD,CARVING
332,"OBSIDIAN, GREEN",OBS,GRN,CARVING
333,"OBSIDIAN, MAHOGANY",OBS,MHGY,CARVING
334,"OBSIDIAN, RAINBOW ",OBS,RNB,CARVING
335,"OBSIDIAN, SILVER SHEEN ",OBS,SLV,CARVING
336,"OBSIDIAN, SNOWFLAKE",OBS,SNWFLK,CARVING
337,"OBSIDIAN, SNOWFLAKE MD",OBS,SNWMD,CARVING
338,OKENITE,OKE,,CARVING
339,ONYX,ONX,,CARVING
340,"ONYX, AQUA",ONX,AQU,CARVING
341,"ONYX, AQUA AND ROSE",ONX,AQURSE,CARVING
342,"ONYX, BLUE (LEMURIAN BLUE ONYX)",ONX,LEMBLU,CARVING
343,"ONYX, BLUE AQUA",ONX,BLU,CARVING
344,"ONYX, GREEN/BLACK",ONX,GRNBLK,CARVING
345,"ONYX, ORANGE",ONX,ORG,CARVING
346,"ONYX, PINK BANDED",ONX,PNK,CARVING
347,"ONYX, ROSE",ONX,RSE,CARVING
348,"ONYX, RUSTIC",ONX,RUST,CARVING
349,"ONYX, RUSTIC AQUA",ONX,RSTAQU,CARVING
350,"ONYX, WHITE SAND",ONX,WHTSND,CARVING
351,OPAL,OPL,,CARVING
352,"OPAL, GREEN",OPL,GRN,CARVING
353,"OPAL, MEXICAN FIRE",OPL,FIR,CARVING
354,"OPAL, PINK",OPL,PNK,CARVING
355,"OPAL, PINTADE",OPL,PNDE,CARVING
356,"OPAL, YELLOW",OPL,YLW,CARVING
357,OPALITE,OPLT,,CARVING
358,"ORE, PEACOCK",PCK,,CARVING
359,ORPIMENT,ORP,,CARVING
360,OSUMILITE,OSML,,CARVING
361,PEARL,PRL,,CARVING
362,PERIDOT,PER,,CARVING
363,PETALITE,PTA,,CARVING
364,"PETALITE, PINK",PTA,PNK,CARVING
365,PETRIFIED PALM ROOT,PET,PLM,CARVING
366,PETRIFIED WOOD,PET,,CARVING
367,"PETRIFIED WOOD, MADAGASCAR",PET,MADG,CARVING
368,"PETRIFIED WOOD, PINK",PTWD,PNK,CARVING
369,PHENAKITE (PHENACITE),PHN,,CARVING
370,PHOENIX,PHX,,CARVING
371,PIETERSITE,PRT,,CARVING
372,"PIETERSITE, BLUE",PRT,BLU,CARVING
373,PINOLITH,PINO,,CARVING
374,POCKET ANGEL,ANG,PCKT,CARVING
375,PRASIOLITE,PRS,,CARVING
376,"PRASIOLITE, YELLOW",PRS,YLW,CARVING
377,PREHNITE,PRE,,CARVING
378,PREHNITE WITH EPIDOTE,PRE,EPD,CARVING
379,PRESELI BLUESTONE,PRSBLU,,CARVING
380,"PRESELI, STONEHENGE",PRS,STNH,CARVING
381,PSILOMELANE,PSL,,CARVING
382,PYRITE,PYRT,,CARVING
383,QUANTUM OTTO,QNT,OTT,CARVING
384,QUARTZ,QTZ,,CARVING
385,"QUARTZ, AMPHIBOLE",QTZ,AMP,CARVING
386,"QUARTZ, AQUA AURA",QTZ,AQA,CARVING
387,"QUARTZ, AURA",QTZ,AURA,CARVING
388,"QUARTZ, BLUE",QTZ,BLU,CARVING
389,"QUARTZ, BLUE",QTZ,BLU,CARVING
390,"QUARTZ, BLUE SMOKE",QTZ,BLSMK,CARVING
391,"QUARTZ, CITRINE",QTZ,CIT,CARVING
392,"QUARTZ, CITRINE B",QTZ,CITB,CARVING
393,"QUARTZ, CLEAR",QTZ,CLR,CARVING
394,"QUARTZ, ELESTIAL",QTZ,ELE,CARVING
395,"QUARTZ, FADEN",QTZ,FAD,CARVING
396,"QUARTZ, FENSTER",QTZ,FEN,CARVING
397,"QUARTZ, FIRE ELESTIAL",QTZ,FIRELE,CARVING
398,"QUARTZ, GARDEN (SHAMAN'S DREAM STONE; LODOLITE)",QTZ,SHM,CARVING
399,"QUARTZ, GOLDEN HEALER",QTZ,GLDHLR,CARVING
400,"QUARTZ, GREEN",QTZ,GRN,CARVING
401,"QUARTZ, HEMATOID",QTZ,HEM,CARVING
402,"QUARTZ, HIMALAYAN ",QTZ,HMLY,CARVING
403,"QUARTZ, LAVENDER ROSE",QTZ,LAVRSE,CARVING
404,"QUARTZ, LEMURIAN",QTZ,LEM,CARVING
405,"QUARTZ, LEMURIAN LIGHT",QTZ,LEMLIT,CARVING
406,"QUARTZ, LEMURIAN RED",QTZ,LEMRD,CARVING
407,"QUARTZ, LITHIUM",QTZ,LIT,CARVING
408,"QUARTZ, NIRVANA",QTZ,NRV,CARVING
409,"QUARTZ, OPAL AURA (ANGEL AURA)",QTZ,OPLAUR,CARVING
410,"QUARTZ, ORANGE OMBRE",QTZ,ORGOM,CARVING
411,"QUARTZ, PETROLEUM",QTZ,PETR,CARVING
412,"QUARTZ, PINK",QTZ,PNK,CARVING
413,"QUARTZ, RED HEMATOID",QTZ,REDHEM,CARVING
414,"QUARTZ, ROSE",QTZ,RSE,CARVING
415,"QUARTZ, RUTILATED",QTZ,RUT,CARVING
416,"QUARTZ, SATYALOKA",QTZ,SAT,CARVING
417,"QUARTZ, SCEPTER",QTZ,SPT,CARVING
418,"QUARTZ, SMOKY",QTZ,SMK,CARVING
419,"QUARTZ, STRAWBERRY",QTZ,STR,CARVING
420,"QUARTZ, SULFUR",QTZ,SLF,CARVING
421,"QUARTZ, SUNSET AURA",QTZ,SST-ARA,CARVING
422,"QUARTZ, TANGERINE",QTZ,TNG,CARVING
423,"QUARTZ, TIBETAN",QTZ,TBT,CARVING
424,"QUARTZ, TOURMALINATED",QTZ,TRM,CARVING
425,"QUARTZ, TOURMALINATED AURA",QTZ,TRM-ARA,CARVING
426,"QUARTZ, WATER",QTZ,WTR,CARVING
427,"QUARTZ, WHITE",QTZ,WHT,CARVING
428,"QUARTZ, YELLOW HEMATOID",QTZ,YLWHEM,CARVING
429,QUE SERA,QSR,,CARVING
430,RHODOCHROSITE,RHO,,CARVING
431,"RHODOCHROSITE, BROWN",RHO,BRN,CARVING
432,RHODONITE,RHDN,,CARVING
433,"RHODONITE, CANADA",RHDN,CAN,CARVING
434,RHYOLITE,RHI,,CARVING
435,"RHYOLITE, RAINFOREST",RHI,RAIN,CARVING
436,ROCK CRYSTAL,RCK,,CARVING
437,ROSASITE ,RSA,,CARVING
438,ROSEWOOD,RSWD,,CARVING
439,RUBELLITE,RBL,,CARVING
440,RUBY,RBY,,CARVING
441,"RUBY, CORUNDUM",RBY,CRN,CARVING
442,"RUBY, FELDSPAR",RBY,FELD,CARVING
443,"RUBY, FUCHSITE",RBY,FUC,CARVING
444,"SANDSTONE, GOLD",SSTN,GLD,CARVING
445,SAPPHIRE,SAP,,CARVING
446,"SAPPHIRE, BLACK",SAP,BLK,CARVING
447,"SAPPHIRE, BLUE",SAP,BLU,CARVING
448,"SAPPHIRE, YELLOW",SAP,YLW,CARVING
449,SARDONYX,SRD,,CARVING
450,SAUSSURITE ,SAU,,CARVING
451,SCAPOLITE,SCA,,CARVING
452,"SCAPOLITE, GOLDEN",SCA,GLD,CARVING
453,"SCAPOLITE, PURPLE",SCA,PUR,CARVING
454,SCOLECITE,SCL,,CARVING
455,SELENITE,SEL,,CARVING
456,"SELENITE, ORANGE",SEL,ONG,CARVING
457,SEPTARIA,SEPT,,CARVING
458,SERAPHINITE,SRA,,CARVING
459,SERPENTINE,SRP,,CARVING
460,"SERPENTINE, PINK",SRP,PNK,CARVING
461,SHATTUKITE,SHT,,CARVING
462,SHIVA LINGAM,SHV,LNG,CARVING
463,"SHRILING GLASS, GREEN",SHGLS,GRN,CARVING
464,SHUNGITE,SNG,,CARVING
465,"SHUNGITE, ELITE",SNG,ELT,CARVING
466,"SINGLE TERMINATE, WAND",STW,,CARVING
467,SMAMATITE,SHM,,CARVING
468,SMITHSONITE,SMT,,CARVING
469,SODALITE,SDA,,CARVING
470,"SODALITE, SUNSET",SDA,SUN,CARVING
471,SPHALERITE,SPH,,CARVING
472,SPHERE,SPHR,,CARVING
473,SPINEL,SPN,,CARVING
474,STICHTITE,STC,,CARVING
475,STILBITE,STB,,CARVING
476,"STONE, GREEN SPOT",STN,GRSP,CARVING
477,"STONE, RED LINE",STN,RDLN,CARVING
478,"STROMATOLITE, CHINA",STRM,CHN,CARVING
479,SUGILITE,SUG,,CARVING
480,SUNSTONE,SST,,CARVING
481,"SUNSTONE, ILLUSION",SST,ILU,CARVING
482,SUPER 7 (MELODY'S STONE),SUP7,,CARVING
483,TANZANITE,TNZ,,CARVING
484,TEKTITE,TKT,,CARVING
485,"TEKTITE, LIBYAN GOLD",TKT,LIB,CARVING
486,TERAHERTZ,THRZ,,CARVING
487,TETRAHEDRON,TTHDRN,,CARVING
488,THULITE,THU,,CARVING
489,TIGER'S EYE,TGR,,CARVING
490,"TIGER'S EYE, BLUE (HAWK EYE, FALCON EYE)",TGR,BLU,CARVING
491,"TIGER'S EYE, GOLD",TGR,GLD,CARVING
492,"TIGER'S EYE, GREEN",TGR,GRN,CARVING
493,"TIGER'S EYE, RED",TGR,RED,CARVING
494,"TIGRINA, STONE",TGST,,CARVING
495,TOPAZ,TPZ,,CARVING
496,"TOPAZ, IMPERIAL",TPZ,IMP,CARVING
497,TOURMALINE,TOUR,,CARVING
498,"TOURMALINE, BLACK",TOUR,BLK,CARVING
499,"TOURMALINE, BLUE",TOUR,BLU,CARVING
500,"TOURMALINE, GREEN",TOUR,GRN,CARVING
501,"TOURMALINE, MIXED",TOUR,MXD,CARVING
502,"TOURMALINE, ORANGE",TOUR,ONG,CARVING
503,"TOURMALINE, PINK",TOUR,PNK,CARVING
504,"TOURMALINE, PINK LEPIDOLITE IN QTZ",TOUR,PNKL,CARVING
505,"TOURMALINE, WATERMELON",TOUR,WTRM,CARVING
506,TREMOLITE,TRM,,CARVING
507,TRIPLITE,TRPL,,CARVING
508,TROLLEITE,TRLT,,CARVING
509,TURQUOISE,TRQ,,CARVING
510,UNAKITE,UNK,,CARVING
511,VANADINITE,VND,,CARVING
512,VARISCITE ,VRS,,CARVING
513,VERDITE ,VRD,,CARVING
514,VESUVIANITE,VES,,CARVING
515,VIVIANITE,VIV,,CARVING
516,WAGNERITE,WGNR,,CARVING
517,ZEBRADORITE,ZBR,,CARVING
518,ZEOLITES,ZEO,,CARVING
519,ZIRCON (JACINTH),ZRC,,CARVING
520,"ZOISITE, RUBY",ZOI,RBY,CARVING
521,"AMETHYST, GREEN (PRASIOLITE)",AMT,GRN,GEMSTONES
522,"AMETHYST, PINK",AMT,PNK,GEMSTONES
523,"AMETHYST, PURPLE RAIN",AMT,PRP,GEMSTONES
524,"AMETHYST, SHANGAAN",AMT,SHN,GEMSTONES
525,"AMETHYST, VERA CRUZ ",AMT,VERCRZ,GEMSTONES
526,"AMETHYST, ZEBRA",AMT,ZBR,GEMSTONES
527,AMMONITE ,AMM,,GEMSTONES
528,AMORINITE,AMRNT,,GEMSTONES
529,ANCESTRALITE,ANS,,GEMSTONES
