id,name,sku,variable
95,"CALCITE, AMBER",CAL,AMB
96,"CALCITE, AMBER OPTICAL",CAL,AMBOPT
97,"CALCITE, ARGENTIAN BLUE",CAL,AGBLU
98,"CALCITE, BLUE",CAL,BLU
99,"CALCITE, CITRINE",CAL,CIT
100,"CALCITE, COBALTO",CAL,COB
101,"CALCITE, HONEY",CAL,HON
102,"CALCITE, ICE CUBE",CAL,ICE
103,"CALCITE, LEMURIAN BLUE",CAL,LEMBLU
104,"CALCITE, MANGANO ",CAL,MNG
105,"CALCITE, OPTICAL",CAL,OPT
106,"CALCITE, ORANGE",CAL,ORN
107,"CALCITE, ORCHID",CAL,ORCH
108,"CALCITE, PAKISTANI PINK",CAL,PKSPNK
109,"CALCITE, PINK",CAL,PNK
110,CANCRONITE,CNR,
111,CARNELIAN ,CRN,
112,"CARNELIAN, BOTS. ",CRN,BOTS
113,CAT'S EYE,CTS,EYE
114,CAT'S EYE CHRYSOBERYL,CRY,CTS
115,CAVANSITE,CAVN,
116,CELESTITE,CLE,
117,CERULTIE,CER,
118,CHALCEDONY,CHAL,
119,"CHALCEDONY, GRAPE",CHAL,GRP
120,CHAROITE,CHR,
121,CHIASTOLITE,CHI,
122,CHRYSANTHEMUM,CHRYS,
123,CHRYSOBERYL/CHRYSOLITE,CRY,
124,CHRYSOCOLLA,CRS,
125,"CHRYSOCOLLA, B",CRS,
126,"CHRYSOCOLLA, C",CRS,C
127,CHRYSOPRASE,CRSP,
128,"CHRYSOPRASE,CHINA",CRSP,CHN
129,CIDERITE,CIDR,
130,"CIDERITE, YUKON",CIDR,YUK
131,CITRINE,CIT,
132,"CITRINE, AFRICAN",CIT,AFR
133,"CITRINE, B",CIT,B
134,"CITRINE, COGNAC",CIT,COG
135,"CITRINE, HYDRO",CIT,HYD
136,"CITRINE, INDIAN",CIT,IND
137,"CITRINE, LEMURIAN",CIT,LEM
138,"CITRINE, SMOKY",CIT,SMK
139,"CITRINE, ZEBRA",CIT,ZEB
140,CLINOHUMITE,CLNO,
141,COPPER,COPR,
142,"CORAL, RED",CRL,RDD
143,CRADLE OF HUMANKIND,COHK,
144,CRYSTAL,CRYS,
145,CUPRITE,CUP,
146,DALMATION,DAL,
147,DANBURITE,DNB,
148,"DANBURITE, GOLD",DNB,GLD
149,DIAMOND,DMD,
150,"DIAMOND, HERKIMER",DMD,HRK
151,DIOPSIDE,DPS,
152,DIOPTASE,DPT,
153,DRAGONSTONE,DRG,
154,DRAVITE,DRV,
155,DUMORTIERITE,DUMT,
156,EMERALD,EMRD,
157,EPIDOTE,EPD,
158,EUDIALYTE,EUD,
159,FACETED STONE,FACTD,STNE
160,"FELDSPAR, SILVER",FELD,SLV
161,FLUORITE,FLU,
162,"FLUORITE, CHINA",FLU,CHN
163,"FLUORITE, INDIGO",FLU,IND
164,"FLUORITE, PINK",FLU,PNK
165,"FLUORITE, PURPLE ",FLU,PUR
166,"FLUORITE, RAINBOW ",FLU,RNB
167,"FLUORITE, TEAL",FLU,TLE
168,"FLUORITE, YELLOW ",FLU,YLW
169,"FOSSIL, CRINOID",FSL,CRI
170,"FOSSIL, SEASHELL",FSL,SSHL
171,FUCHSITE,FUCTE,
172,GALAXITE,GLX,
173,GARNET,GARN,
174,GARNET IN MATRIX,GARN,MTX
175,"GARNET, ALMANDINE",GARN,ALM
176,"GARNET, BLACK (ALSO CALLED MELANITE)",GARN,MEL
177,"GARNET, CINNAMON (HESSONITE)",GARN,HES
178,"GARNET, GREEN",GARN,GRN
179,"GARNET, GREEN/ GROSSULARITE",GARN,GRS
180,"GARNET, GREEN/ UVAROVITE",GARN,UVA
181,"GARNET, ORANGE",GARN,ORG
182,"GARNET, RUBELlITE",GARN,RUB
183,GARNIERITE,GAR,
184,GENERATOR,GEN,
185,GIRASOL,GIR,
186,GLASS,GLSS,
187,GOETHITE,GOE,
188,"GOLDSTONE, ORANGE",GLDST,ORN
189,GOSHENITE,GHS,
190,GRANDIDIERITE,GRDRTE,
191,GUA SHA,GUA,
192,HEALERS GOLD,HEAL,GLDN
193,HEAMATOID,HMT,
194,HELIODOR,HEL,
195,HEMATITE,HEM,
196,"HEMATITE, MD",HEM,MD
197,HEMIMORPHITE,HEMI,
198,"HEMIMORPHITE, BLUE",HEMI,BLU
199,HERDERITE,HRD,
200,HERKIMER,HER,
201,"HESSONITE, ORANGE",HES,ORG
202,HEULANDITE,HEU,
203,"HEULANDITE, GREEN",HEU,GRN
204,HIMALAYAN SALT,HYM,SLT
205,HOWLITE,HOW,
206,HYALITE,HYA,
207,HYPERSTHENE,HYP,
208,IDOCRASE (VESUVIANITE) (VASONITE),IDO,
209,INFINITE,INF,
210,IOLITE (CORDIERITE),ILI,
211,JADE,JDE,
212,"JADE, AFRICAN",JDE,AFR
213,"JADE, MARBLED",JDE,MARB
214,"JADE, YELLOW",JDE,YLW
215,JASPER,JSP,
216,"JASPER, BLOODSTONE",JSP,BLD
217,"JASPER, BRECCIATED",JSP,BRC
218,"JASPER, BUMBLEBEE",JSP,BMB
219,"JASPER, GREEN",JSP,GRN
220,"JASPER, IBIS",JSP,IBS
221,"JASPER, KAMBABA (CROCODILE JASPER)",JSP,KMB
222,"JASPER, LEOPARDSKIN",JSP,LEO
223,"JASPER, MOOKAITE",JSP,MOK
224,"JASPER, NET",JSP,NET
225,"JASPER, NOREENA",JSP,NOR
226,"JASPER, OCEAN",JSP,OCN
227,"JASPER, PICASSO",JSP,PIC
228,"JASPER, PICTURE",JSP,PTR
229,"JASPER, RAINBOW",JSP,RNBW
230,"JASPER, RAINFOREST",JSP,RNF
231,"JASPER, RED",JSP,RED
232,"JASPER, RHYOLITE",JSP,RHY
233,"JASPER, SANSKRIT",JSP,SNSK
234,"JASPER, SARDONYX",JSP,SRD
235,"JASPER, SILVERLEAF",JSP,SLV
236,"JASPER, STAR",JSP,STR
237,"JASPER, UNAKITE",JSP,UNK
238,"JASPER, YELLOW",JSP,YLW
239,"JASPER, ZEBRA",JSP,ZEB
240,JEREMEJEVITE,JRM,
241,JET,JTT,
242,KAMMERERITE,KAM,
243,KUNZITE,KNZ,
244,KUNZITE (ALSO CALLED HIDDENITE),KNZ,GRN
245,KYANITE,KYN,
246,"KYANITE, BLACK",KYN,BLK
247,"KYANITE, BLUE",KYN,BLU
248,"KYANITE, GREEN ",KYN,GRN
249,"KYANITE, ORANGE",KYN,ORG
250,"KYANITE, RUBY",KYN,RBY
251,LABRADORITE,LAB,
252,LAMROPHYLLITE,LAM,
253,LAPIS,LAP,
254,LAPIS LAZULI,LAP,LAZ
255,LARIMAR,LAR,
256,LARVIKITE,LRV,
257,LAVA STONE,LAV,
258,LAZURITE,LAZT,
259,LEMURIAN ROOT CRYSTALS,LEM,RTCRYS
260,LEPIDOCROCITE,LPD,
261,LEPIDOLITE ,LEP,
262,"LEPIDOLITE, CHINA",LEP,CHN
263,"LEPIDOLITE, MUSHROOM (BUBBLE)",LEP,MUS
264,LIBYAN DESERT GLASS,LBYN,GLSS
265,LIMONITE,LIM,
266,LODESTONE,LOD,
267,"MAGNESITE, IVORY",MAG,IVY
268,MALACHITE,MAL,
269,"MALACHITE, STALAKTITE",MAL,STA
270,MALACUPRACOLLA,MCC,
271,MANDALA,MNDL,
272,MARBLED PICASSO,MRPC,
273,MARCASITE,MCSTE,
274,MERLINITE (CHALCEDONY, INDIGO GABRO),MRL
275,MICA,MIC,
276,MIMETITE,MIM,
277,MIXED STONES,MXS,
278,MOLDAVITE,MLD,
279,MONTEBRASITE,MNT,
280,MOOKAITE,MOOK,
281,MOONSTONE,MON,
282,"MOONSTONE, B",MON,B
283,"MOONSTONE, PEACH",MON,PCH
284,"MOONSTONE, RAINBOW",MON,RNB
285,"MOONSTONE, SILVER FLASH",MON,SLV
286,MORGANITE,MRG,
287,MOTHER OF PEARL,MOP,
288,MTOROLITE,MTO,
289,MUGGLESTONE,MGL,
290,NATROLITE,NAT,
291,NELLITE,NEL,
292,NUUMMITE ,NUM,
293,OBSIDIAN,OBS,
294,"OBSIDIAN, BLACK",OBS,BLK
295,"OBSIDIAN, BLUE",OBS,BLU
296,"OBSIDIAN, GOLDEN SHEEN",OBS,GLD
297,"OBSIDIAN, GREEN",OBS,GRN
298,"OBSIDIAN, MAHOGANY",OBS,MHGY
299,"OBSIDIAN, RAINBOW ",OBS,RNB
